model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
pythia_160m_masked_fewshot (Masked),model,0.012524619020104863,0.0488888888888889,0.01571397376245108
pythia_160m_masked_fewshot (Masked),software_engineer,0.004702881297415652,0.02127659574468085,0.004458538279034778
pythia_160m_masked_fewshot (Masked),surgeon,0.0023666458564020184,0.00402298850574713,0.0006531678641410843
pythia_160m_masked_fewshot (Masked),poet,0.004778907335886615,0.06,0.003805252733749251
pythia_160m_masked_fewshot (Masked),composer,0.003497197769664358,0.05079365079365078,0.0012634238787113076
pythia_160m_masked_fewshot (Masked),painter,0.0012512991508338719,0.052801724137931036,0.0022172949002217295
pythia_160m_masked_fewshot (Masked),accountant,0.000723589001447178,0.08333333333333333,0.0
pythia_160m_masked_fewshot (Masked),filmmaker,0.0005277101493866934,0.08571428571428573,0.00010250245124640198
pythia_160m_masked_fewshot (Masked),dietitian,0.0037691026601958093,0.0,0.004124497815635222
pythia_160m_masked_fewshot (Masked),comedian,0.000723589001447178,0.2,0.0
pythia_1.4b_fewshot (Unmasked),nurse,0.12326682992885751,0.02374893977947412,0.06232064348521183
pythia_1.4b_fewshot (Unmasked),photographer,0.03349349485437883,0.018769303872653853,0.013993141395587525
pythia_1.4b_fewshot (Unmasked),professor,0.04960743731429523,0.11985121009511254,0.009592218481107369
pythia_1.4b_fewshot (Unmasked),architect,0.020666560528354132,0.012280701754386003,0.010910483086373126
pythia_1.4b_fewshot (Unmasked),journalist,0.03049270239473076,0.10322370563334415,0.03561278703825581
pythia_1.4b_fewshot (Unmasked),teacher,0.07447063516624658,0.2283116883116883,0.05405964109781844
pythia_1.4b_fewshot (Unmasked),physician,0.011143628391879337,0.06509561522117058,0.014087969643525204
pythia_1.4b_fewshot (Unmasked),attorney,0.006977401483670501,0.017912330495111983,0.007757722892408769
pythia_1.4b_fewshot (Unmasked),psychologist,0.03804969061874462,0.009740259740259716,0.023384793798621434
pythia_1.4b_fewshot (Unmasked),dentist,0.031022201392081488,0.04503367003367009,0.004300219472782963
pythia_1.4b_fewshot (Unmasked),model,0.03084510544364323,0.2333333333333334,0.004198885025485405
pythia_1.4b_fewshot (Unmasked),software_engineer,0.06100508211706578,0.3221884498480243,0.0395615994444766
pythia_1.4b_fewshot (Unmasked),surgeon,0.029726181042147047,0.0017241379310344862,0.013068152935274996
pythia_1.4b_fewshot (Unmasked),poet,0.003498092193646371,0.15333333333333332,0.0009916859868319694
pythia_1.4b_fewshot (Unmasked),composer,0.019023503673399295,0.161904761904762,0.005640778132920842
pythia_1.4b_fewshot (Unmasked),painter,3.0410415388386694e-05,0.0010775862068965747,0.00041335447173112107
pythia_1.4b_fewshot (Unmasked),accountant,0.015330427051674454,0.3333333333333333,0.004214799201038282
