profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,F,online,1,1,0.5297885537147522,0.5297885537147522
accountant,F,adjunct,1,1,0.47508275508880615,0.47508275508880615
accountant,F,dating,1,1,0.40946485847234726,0.40946485847234726
accountant,F,cpas,1,1,0.3869872875511646,0.3869872875511646
accountant,F,client,1,1,0.38282710313796997,0.38282710313796997
accountant,F,life,1,1,0.37861964106559753,0.37861964106559753
accountant,F,operations,1,1,0.3768623471260071,0.3768623471260071
accountant,F,years,1,1,0.36399567499756813,0.36399567499756813
accountant,F,listens,1,1,0.3452049493789673,0.3452049493789673
accountant,F,right,1,1,0.3409047871828079,0.3409047871828079
accountant,F,miller,1,1,0.3389657735824585,0.3389657735824585
accountant,F,corporate,1,1,0.3023563623428345,0.3023563623428345
accountant,F,courses,1,1,0.2910175621509552,0.2910175621509552
accountant,F,decides,1,1,0.24264423549175262,0.24264423549175262
accountant,F,pace,1,1,0.23209318239241838,0.23209318239241838
accountant,M,accounting,12,10,1.7438924342083435,20.92670921050012
accountant,M,finance,10,7,0.767349835112691,7.673498351126909
accountant,M,financial,8,7,0.9416814595460892,7.533451676368713
accountant,M,cfo,4,3,1.553515337407589,6.214061349630356
accountant,M,business,9,8,0.6892500321070353,6.203250288963318
accountant,M,accountants,4,2,1.4726538881659508,5.890615552663803
accountant,M,accountancy,2,2,2.33260091021657,4.66520182043314
accountant,M,accounts,3,3,1.114479939142863,3.343439817428589
accountant,M,firm,3,3,1.0134232863783836,3.040269859135151
accountant,M,reporting,3,2,0.9581764607379833,2.87452938221395
accountant,M,corporate,3,2,0.6365809539953867,1.9097428619861603
accountant,M,company,2,2,0.9433296024799347,1.8866592049598694
accountant,M,degree,3,3,0.6107997049887975,1.8323991149663925
accountant,M,tax,3,2,0.6009039282798767,1.8027117848396301
accountant,M,experience,3,3,0.5106508433818817,1.5319525301456451
accountant,M,audits,1,1,1.527632713317871,1.527632713317871
accountant,M,taxes,1,1,1.3870817124843597,1.3870817124843597
accountant,M,spreadsheets,1,1,1.3749476540833712,1.3749476540833712
accountant,M,positions,1,1,1.2745764255523682,1.2745764255523682
accountant,M,senior,2,2,0.6315614879131317,1.2631229758262634
accountant,M,member,1,1,1.2375447750091553,1.2375447750091553
accountant,M,pricewaterhousecoopers,2,2,0.5635866681113839,1.1271733362227678
accountant,M,accountant,1,1,1.0848464965820312,1.0848464965820312
accountant,M,returns,1,1,1.0607983469963074,1.0607983469963074
accountant,M,acquisition,2,1,0.517273336648941,1.034546673297882
accountant,M,joining,2,2,0.5001877993345261,1.0003755986690521
accountant,M,cpa,1,1,0.8549028150737286,0.8549028150737286
accountant,M,prior,2,2,0.42223310470581055,0.8444662094116211
accountant,M,wiltshire,1,1,0.8409308781847358,0.8409308781847358
accountant,M,operations,1,1,0.8289307355880737,0.8289307355880737
accountant,M,stressful,1,1,0.7626120448112488,0.7626120448112488
accountant,M,role,1,1,0.7600695490837097,0.7600695490837097
accountant,M,offices,1,1,0.7546678334474564,0.7546678334474564
accountant,M,irs,1,1,0.7473812103271484,0.7473812103271484
accountant,M,governmental,1,1,0.7178865671157837,0.7178865671157837
accountant,M,practice,1,1,0.7157505750656128,0.7157505750656128
accountant,M,firms,1,1,0.7080654613673687,0.7080654613673687
accountant,M,trading,2,2,0.34552888572216034,0.6910577714443207
accountant,M,left,1,1,0.6800152063369751,0.6800152063369751
accountant,M,valuations,1,1,0.6606950610876083,0.6606950610876083
accountant,M,started,1,1,0.6313194036483765,0.6313194036483765
accountant,M,bachelor,1,1,0.615960955619812,0.615960955619812
accountant,M,acquisitions,1,1,0.615130253136158,0.615130253136158
accountant,M,dealing,1,1,0.614556074142456,0.614556074142456
accountant,M,payable,1,1,0.5959470272064209,0.5959470272064209
accountant,M,âģľrecruit,1,1,0.5707659646868706,0.5707659646868706
accountant,M,first,1,1,0.5619237199425697,0.5619237199425697
accountant,M,chartered,1,1,0.5473322570323944,0.5473322570323944
accountant,M,prospects,1,1,0.545558350160718,0.545558350160718
accountant,M,markâģļs,1,1,0.5387496501207352,0.5387496501207352
accountant,M,requirements,1,1,0.5254810452461243,0.5254810452461243
accountant,M,certified,1,1,0.5229547023773193,0.5229547023773193
accountant,M,practicing,1,1,0.5215902328491211,0.5215902328491211
accountant,M,previously,1,1,0.5108588486909866,0.5108588486909866
