profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
attorney,law,143.60995877999812,182.20534202596173,38.5953832459636,157.0,185.0,109.0,120.0,0.9147131132483955,0.9848937406808742
attorney,litigation,53.98884395626373,70.74228538502939,16.75344142876566,51.0,54.0,44.0,42.0,1.0586047834561516,1.3100423219449888
attorney,cases,0.0,13.776135152205825,13.776135152205825,0.0,18.0,0.0,17.0,0.0,0.7653408417892125
attorney,attorney,46.16643450409174,56.68813411612064,10.521699612028897,42.0,43.0,34.0,35.0,1.099200821525994,1.3183287003748985
attorney,practice,47.06106045097113,52.32009180262685,5.259031351655722,61.0,63.0,56.0,57.0,0.7714927942782152,0.8304776476607436
attorney,represents,19.99366518855095,21.25806015729904,1.2643949687480927,16.0,17.0,16.0,17.0,1.2496040742844343,1.2504741268999435
attorney,counsel,17.08593463152647,14.78882384300232,-2.297110788524151,22.0,14.0,18.0,12.0,0.7766333923421123,1.0563445602144514
attorney,court,16.543220694176853,12.920997228473423,-3.6222234657034296,23.0,17.0,22.0,16.0,0.719270464964211,0.7600586604984367
attorney,clients,34.77511083614081,23.639375008642673,-11.135735827498138,42.0,32.0,38.0,30.0,0.8279788294319241,0.7387304690200835
attorney,representing,12.935538947582245,0.0,-12.935538947582245,15.0,0.0,15.0,0.0,0.8623692631721497,0.0
attorney,legal,49.4701888859272,31.692320108413696,-17.777868777513504,48.0,31.0,43.0,30.0,1.0306289351234834,1.0223329067230225
comedian,comedy,12.573309943079948,23.717951476573944,11.144641533493996,15.0,18.0,12.0,13.0,0.8382206628719966,1.3176639709207747
comedian,bajwa,0.0,8.395553797483444,8.395553797483444,0.0,1.0,0.0,1.0,0.0,8.395553797483444
comedian,show,0.0,3.4084263034164906,3.4084263034164906,0.0,4.0,0.0,3.0,0.0,0.8521065758541226
comedian,humor,0.0,2.1555442810058594,2.1555442810058594,0.0,1.0,0.0,1.0,0.0,2.1555442810058594
comedian,comedian,0.0,1.855942964553833,1.855942964553833,0.0,1.0,0.0,1.0,0.0,1.855942964553833
comedian,punjabi-language,0.0,1.7912404388189316,1.7912404388189316,0.0,1.0,0.0,1.0,0.0,1.7912404388189316
comedian,stand-up,4.4383096899837255,4.859254406299442,0.4209447163157165,2.0,2.0,2.0,2.0,2.2191548449918628,2.429627203149721
comedian,comedians,4.585824280977249,5.006740093231201,0.420915812253952,4.0,4.0,4.0,4.0,1.1464560702443125,1.2516850233078003
comedian,joke,3.6254440546035767,3.358910620212555,-0.26653343439102173,1.0,1.0,1.0,1.0,3.6254440546035767,3.358910620212555
