profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
architect,architectural,15.509632855653765,19.781438782811165,4.2718059271574,17.0,21.0,16.0,17.0,0.9123313444502212,0.9419732753719602
architect,building,0.0,4.031683087348938,4.031683087348938,0.0,8.0,0.0,6.0,0.0,0.5039603859186172
architect,microsoft,0.0,1.8222854733467104,1.8222854733467104,0.0,4.0,0.0,2.0,0.0,0.4555713683366775
architect,firms,0.0,1.6485943794250488,1.6485943794250488,0.0,2.0,0.0,2.0,0.0,0.8242971897125244
architect,architect,11.131538569927216,12.42706885933876,1.2955302894115448,10.0,11.0,10.0,11.0,1.1131538569927215,1.12973353266716
architect,technical,1.520870864391327,1.7162009477615356,0.19533008337020874,2.0,2.0,1.0,1.0,0.7604354321956635,0.8581004738807678
architect,ellenzweig,1.407253935933113,0.0,-1.407253935933113,1.0,0.0,1.0,0.0,1.407253935933113,0.0
architect,firm,1.7279988825321198,0.0,-1.7279988825321198,4.0,0.0,3.0,0.0,0.4319997206330299,0.0
architect,architects,7.949633598327637,6.206606805324554,-1.7430267930030823,9.0,7.0,8.0,7.0,0.8832926220364041,0.8866581150463649
architect,sustainable,1.9336364269256592,0.0,-1.9336364269256592,1.0,0.0,1.0,0.0,1.9336364269256592,0.0
architect,design,13.078448861837389,10.263787895441055,-2.8146609663963336,20.0,18.0,16.0,16.0,0.6539224430918693,0.5702104386356142
architect,construction,3.1564178466796875,0.0,-3.1564178466796875,4.0,0.0,4.0,0.0,0.7891044616699219,0.0
attorney,law,55.9622505903244,81.9944404065609,26.032189816236496,94.0,134.0,79.0,106.0,0.5953430913864298,0.6118988090041858
attorney,firm,0.0,14.21292978525162,14.21292978525162,0.0,25.0,0.0,23.0,0.0,0.5685171914100647
attorney,bar,0.0,8.159952476620674,8.159952476620674,0.0,15.0,0.0,12.0,0.0,0.5439968317747116
attorney,practice,11.347406655550005,16.260666400194168,4.913259744644163,22.0,36.0,22.0,36.0,0.5157912116159092,0.4516851777831713
attorney,litigation,25.47640225291252,30.248432219028473,4.7720299661159515,42.0,56.0,36.0,45.0,0.6065810060217267,0.5401505753397942
attorney,represents,8.712778598070145,10.199449360370636,1.4866707623004913,13.0,18.0,13.0,18.0,0.6702137383130881,0.5666360755761465
attorney,clients,19.814823806285855,18.43826398253441,-1.376559823751446,35.0,39.0,35.0,36.0,0.5661378230367388,0.4727759995521643
attorney,legal,27.63577699661255,25.491317614912987,-2.144459381699562,37.0,37.0,36.0,35.0,0.7469128918003392,0.6889545301327834
attorney,attorney,37.425258189439774,33.15190261602402,-4.273355573415756,38.0,43.0,31.0,31.0,0.984875215511573,0.770974479442419
attorney,counsel,18.363327234983444,12.635524570941923,-5.727802664041521,26.0,23.0,20.0,20.0,0.7062818167301325,0.5493706335192141
attorney,juris,8.950372606515884,0.0,-8.950372606515884,10.0,0.0,10.0,0.0,0.8950372606515884,0.0
attorney,matters,11.724954903125765,0.0,-11.724954903125765,22.0,0.0,22.0,0.0,0.5329524955966256,0.0
comedian,fool,0.0,1.2197740077972412,1.2197740077972412,0.0,1.0,0.0,1.0,0.0,1.2197740077972412
comedian,season,0.0,1.1177263259887695,1.1177263259887695,0.0,1.0,0.0,1.0,0.0,1.1177263259887695
comedian,television,0.0,1.1008524894714355,1.1008524894714355,0.0,2.0,0.0,2.0,0.0,0.5504262447357178
comedian,comedians,3.020639955997467,4.116542816162109,1.0959028601646423,4.0,4.0,4.0,4.0,0.7551599889993668,1.0291357040405271
comedian,jokes,1.0720833539962769,1.893088936805725,0.8210055828094482,1.0,1.0,1.0,1.0,1.0720833539962769,1.893088936805725
comedian,performed,2.045862555503845,2.3396944999694824,0.2938319444656372,3.0,3.0,3.0,3.0,0.6819541851679484,0.7798981666564941
comedian,stand,4.297049522399902,4.521346092224121,0.22429656982421875,5.0,4.0,5.0,4.0,0.8594099044799804,1.1303365230560305
comedian,comedy,16.37504842877388,16.507785350084305,0.1327369213104248,16.0,18.0,13.0,13.0,1.0234405267983675,0.9170991861157948
comedian,resonates,1.0695707648992538,1.1886006146669388,0.11902984976768494,1.0,1.0,1.0,1.0,1.0695707648992538,1.1886006146669388
comedian,comedian,1.1614731550216677,1.2329380512237549,0.07146489620208718,1.0,1.0,1.0,1.0,1.1614731550216677,1.2329380512237549
comedian,mtv,1.035387396812439,0.0,-1.035387396812439,1.0,0.0,1.0,0.0,1.035387396812439,0.0
comedian,seasonal,1.0662031173706057,0.0,-1.0662031173706057,1.0,0.0,1.0,0.0,1.0662031173706057,0.0
comedian,april,1.2550486326217651,0.0,-1.2550486326217651,1.0,0.0,1.0,0.0,1.2550486326217651,0.0
composer,music,24.323025673627853,37.437929570674896,13.114903897047043,34.0,46.0,26.0,29.0,0.7153831080478781,0.8138680341451064
composer,score,0.0,2.5253634452819824,2.5253634452819824,0.0,2.0,0.0,2.0,0.0,1.2626817226409912
composer,electronic,0.0,2.411518484354019,2.411518484354019,0.0,4.0,0.0,4.0,0.0,0.6028796210885048
composer,compositions,3.477957010269165,5.807547926902771,2.329590916633606,4.0,5.0,3.0,4.0,0.8694892525672913,1.1615095853805542
composer,composition,6.872414171695709,9.134050369262695,2.261636197566986,9.0,11.0,9.0,9.0,0.7636015746328566,0.8303682153875177
composer,orchestral,0.0,2.124537944793701,2.124537944793701,0.0,2.0,0.0,2.0,0.0,1.0622689723968506
composer,composing,4.336629211902618,5.708599090576172,1.3719698786735535,4.0,4.0,4.0,4.0,1.0841573029756546,1.427149772644043
